fixed acidity,citric acid,residual sugar,sulfur dioxide,density,pH,alcohol,quality
7.4,0.36,13.2,178,0.9976,3.01,9,6
6.1,0.3,1.5,61,0.992,3.31,10.4,5
6.8,0.24,4.55,211,0.9955,3.37,9.5,6
6.7,0.31,9.9,175,0.9953,3.46,11.4,4
7.2,0.65,10.4,192,0.9976,3.16,8.7,5
5.5,0.35,1.1,167,0.992,3.34,9.9,6
6.7,0.41,8.7,148,0.9952,3.22,9.9,6
6.8,0.17,13.9,162,0.9983,3.21,9,6
6.4,0.22,1.4,149,0.9933,3.49,10,6
6.3,0.24,7.2,172,0.9958,3.49,9.7,6
7.7,0.42,1.9,87,0.9922,3.3,11.8,6
6.5,0.31,1.7,127,0.9928,3.49,10.2,7
7.2,0.65,10.4,192,0.9976,3.16,8.7,5
7,0.51,13.6,168,0.9976,3.07,9.6,7
9.2,0.34,1.2,93,0.9916,2.93,11.3,7
7.8,0.34,1.6,118,0.9901,3,12.1,7
7,0.51,13.6,168,0.9976,3.07,9.6,7
7.8,0.34,1.6,118,0.9901,3,12.1,7
9.2,0.34,1.2,93,0.9916,2.93,11.3,7
6.1,0.24,1.6,137,0.993,3.32,10.4,6
5.9,0.24,12.1,165,0.9969,3.25,9.5,5
7.2,0.44,4.2,144,0.991,3.01,12.3,6
6.7,0.42,9.1,150,0.9953,3.12,9.9,7
5.9,0.1,1.6,128,0.9924,3.24,10.1,5
7.7,0.27,8.8,184,0.9969,3.09,9.2,6
7.4,0.22,1.4,135,0.9928,3.08,10.4,7
6.8,0.3,4.2,165,0.9945,3.2,9.1,5
7.8,0.38,10.3,99,0.9967,3.12,10,6
7.2,0.34,12.4,37,0.9944,3.13,11.5,6
6,0.5,2.2,153,0.9928,3.08,9.8,5
6.1,0.51,2.2,154,0.9929,3.08,9.8,6
6.5,0.27,5.2,179,0.9948,3.19,9.4,6
7.4,0.66,10.8,194,0.9976,3.05,8.7,5
6.5,0.29,2.7,107,0.9912,3.32,11.6,7
6.7,0.54,16.3,181,0.9987,3.04,8.8,5
7.2,0.34,2.7,151,0.99,3.16,12.7,7
7.4,0.33,1.9,138,0.991,3.17,11.7,7
8.2,0.3,1.8,185,0.9933,3.13,10.2,6
8.2,0.29,1.8,187,0.9933,3.13,10.2,6
7.1,0.33,2.8,153,0.9899,3.15,12.7,7
6.5,0.29,2.7,107,0.9912,3.32,11.6,7
6,0.26,6,134,0.9912,3.38,12.3,7
7.4,0.66,10.8,194,0.9976,3.05,8.7,5
5.7,0.22,4.2,111,0.994,3.35,9.4,5
7.3,0.22,6.4,168,0.9947,3.13,10.1,6
7.4,0.22,10.7,81,0.9954,2.86,9.7,6
6.6,0.3,1.6,134,0.993,3.42,10.1,7
7.4,0.22,10.7,81,0.9954,2.86,9.7,6
7.4,0.3,7.9,157,0.9963,3.13,8.9,6
6.1,0.25,1.7,136,0.992,3.47,10.8,7
6.9,0.27,2.1,121,0.9926,3.42,10.8,7
7,0.33,5.8,136,0.995,3.19,9.5,6
7.1,0.5,14.5,148,0.9983,2.94,9.1,5
7.3,0.37,1.2,119,0.992,3.32,10.9,6
6.9,0.33,10.1,152,0.9968,3.2,9.4,5
6.4,0.07,1.1,131,0.9905,2.97,10.8,5
6.4,0.06,1,131,0.9904,2.97,10.8,5
6.3,0.38,0.9,140,0.9926,3.45,10.5,7
6.9,0.33,10.1,152,0.9968,3.2,9.4,5
7,0.37,4.9,127,0.9928,3.17,10.8,6
5.9,0.29,11.4,115,0.9949,3.35,10.5,8
6.9,0.4,1.4,55,0.9909,3.08,11.5,7
7.2,0.4,1.4,106,0.9914,2.88,10.8,6
6.4,0.07,1.1,131,0.9905,2.97,10.8,5
6.4,0.06,1,131,0.9904,2.97,10.8,5
6.3,0.49,1.5,134,0.9924,2.99,9.8,6
6.3,0.49,1.5,134,0.9924,2.99,9.8,6
7.3,0.29,7.5,158,0.9965,3.43,9.6,5
7.3,0.29,7.5,158,0.9965,3.43,9.6,5
6.1,0.25,17.75,161,0.9993,3.34,9.5,5
7.4,0.35,5.7,94,0.9965,3.48,10.7,6
6.5,0.28,3.2,119,0.9908,3.25,12.4,8
7.4,0.4,4.3,95,0.992,3.09,11.1,6
7.5,0.68,11,133,0.9978,2.99,8.8,5
7.5,0.68,10.9,133,0.9978,3,8.7,5
7.5,0.68,10.9,133,0.9978,3,8.7,5
7.5,0.68,11,133,0.9978,2.99,8.8,5
7.8,0.33,2.4,101,0.9912,3.21,11.7,7
7.8,0.27,1.9,195,0.9928,3.23,10.9,6
7.7,0.27,1.8,190,0.9928,3.23,10.8,6
7.4,0.3,1.4,135,0.993,3.12,9.6,6
6.5,0.41,16.8,222,0.9993,3.18,9,5
6.5,0.43,8.9,171,0.9965,2.85,9,5
5.3,0.12,6.6,141,0.9937,3.36,10.4,6
7.2,0.34,1.1,64,0.9913,3.23,11.4,5
6,0.06,1.4,128,0.9934,3.26,9.3,5
6.2,0.29,13.3,130,0.9952,3.33,11,8
7.6,0.12,10.4,177,0.9983,3.32,9.1,4
7,0.24,6.2,228,0.9957,3.23,9.4,6
7,0.24,6.2,228,0.9957,3.23,9.4,6
5.8,0.33,1.2,99,0.9916,3.18,10.5,6
7,0.42,18.05,144,0.9999,3.22,8.8,5
7,0.42,18.05,144,0.9999,3.22,8.8,5
6.9,0.33,4.8,131,0.9936,3.26,10.7,6
6,0.2,12.6,187,0.9972,3.33,9.5,5
6.1,0.28,4.5,150,0.9933,3.43,10.9,6
5.9,0.25,4.5,140,0.9934,3.49,10.8,6
6.2,0.28,4.7,133,0.9931,3.41,10.8,7
7.4,0.25,11.9,148,0.9976,3.1,9.2,5
5.6,0.14,5,198,0.9937,3.3,10.3,5
5.8,0.14,5.8,197,0.9937,3.3,10.3,5
5.6,0.29,1.2,127,0.991,3.34,11,7
6.1,0.25,12.9,189,0.9979,3.25,9,4
6.3,0.33,13.9,179,0.9971,3.36,10.4,6
6.4,0.28,11.5,163,0.9969,3.31,9.5,5
6.4,0.29,11.4,166,0.9968,3.31,9.5,5
6.3,0.25,7.8,166,0.9961,3.24,9,5
7.4,0.34,12.2,146,0.9973,3.16,9,6
6,0.12,5.9,190,0.9944,3.16,10,5
7.1,0.34,14.4,189,0.9986,3.07,9.1,7
7.1,0.34,14.4,189,0.9986,3.07,9.1,7
7.1,0.34,14.4,189,0.9986,3.07,9.1,7
7.1,0.34,14.4,189,0.9986,3.07,9.1,7
5.9,0.26,12.3,134,0.9972,3.34,9.5,6
6.5,0.37,2.5,138,0.9917,3.33,11.4,7
7.7,0.35,5.3,117,0.992,3.11,12.2,6
9,0.35,4.9,95,0.9932,3.04,11.3,6
7.3,0.21,3.2,136,0.9936,3.25,10.2,5
6.6,0.25,3.1,188,0.9915,3.24,11.3,5
7.1,0.26,1.9,86,0.9934,3.15,9.4,5
6.8,0.34,14,133,0.9952,3.37,12.2,7
7,0.1,8.3,188,0.9972,3.4,9.2,4
7.1,0.26,1.9,86,0.9934,3.15,9.4,5
7.1,0.38,7.4,182,0.9958,3.35,9.6,6
7.8,0.22,1.4,130,0.9944,3.28,9.5,5
6.8,0.37,1.7,195,0.9908,3.35,12.5,6
7.1,0.38,7.4,182,0.9958,3.35,9.6,6
6.1,0.25,1.3,173,0.9925,3.35,10,6
6.4,0.5,11.6,211,0.9966,3.18,9.3,5
7.8,0.26,9.2,199,0.9972,3.14,9.3,6
6.6,0.36,1.7,101,0.9912,3.29,11.6,6
7.1,0.34,14.5,150,0.995,3.38,12.5,8
6.7,0.3,2.1,130,0.9928,3.36,10.6,6
6.4,0.5,10.7,206,0.9968,3.08,9.4,5
6.1,0.25,6.9,201,0.9955,3.19,9.1,6
5.9,0.25,12,224,0.9981,3.23,9,6
5.8,0.38,4.75,94,0.991,3.42,11.8,7
5.8,0.38,4.75,94,0.991,3.42,11.8,7
5.7,0.38,4.75,94,0.991,3.42,11.8,7
6.7,0.14,1.4,159,0.992,3.17,10,5
6.8,0.69,1.3,171,0.9931,3.06,9.7,5
5.9,0.25,11.3,165,0.997,3.24,9.5,6
8.1,0.31,1.7,183,0.9923,3.03,11.2,5
6.2,0.26,13.2,201,0.9976,3.25,9,5
6.8,0.35,5.5,114,0.9938,3.3,10.7,7
7.2,0.3,10.7,222,0.9972,3.14,9.1,6
6.7,0.37,2,125,0.9922,3.26,10.8,7
6.9,0.34,1.9,136,0.9935,3.31,10.1,4
6.1,0.16,6.4,198,0.9944,3.17,9.9,6
6,0.16,6.3,191,0.9942,3.17,9.8,5
5.9,0.14,6.3,185,0.9944,3.17,9.8,5
7.6,0.58,17.5,225,0.9997,3.16,9.5,6
6.3,0.28,14.7,198,0.9977,3.23,9.5,5
6.7,0.34,1,94,0.9912,3.23,11.1,6
7.5,0.51,14.8,204,0.9982,3.06,9.5,5
7.5,0.51,14.8,204,0.9982,3.06,9.5,5
7.4,0.48,14.2,204,0.9983,3.06,9.4,5
5.9,0.22,2.4,135,0.9894,3.41,13.9,7
6.6,0.18,1.2,84,0.9927,3.22,10.1,4
6.4,0.28,1.1,110,0.9917,3.12,10.5,6
5.6,0.26,3.6,115,0.9904,3.42,12.6,6
8.6,0.46,6.1,41,0.993,2.89,10.9,5
6.2,0.21,6.3,218,0.9941,3.15,10,5
7.2,0.45,4.4,166,0.9943,3.13,11.2,6
7.7,0.44,13.9,130,0.99855,3.11,10,6
6.2,0.21,1,98,0.99345,3.14,9.2,5
6.1,0.24,12.1,172,0.998,3.35,9.5,5
8.2,0.43,1.6,128,0.9916,3.1,12.3,6
8.2,0.43,1.6,128,0.9916,3.1,12.3,6
6.4,0.39,7.5,213,0.99475,3.32,10,5
6,0.26,2.7,187,0.99325,3.41,10.8,6
6.2,0.27,1.7,150,0.9933,3.49,10.5,7
7.7,0.31,9.2,221,0.9969,3.06,9.2,6
7,0.41,18.75,157,1.0002,2.96,9.1,5
6.2,0.27,1.7,150,0.9933,3.49,10.5,7
7.4,0.5,1.8,127,0.9937,3.45,10.2,7
6.6,0.44,9,178,0.99685,3.02,8.9,5
6,0.44,1.5,182,0.99455,3.5,10.4,5
6.9,0.34,1.6,128,0.9917,3.37,11.7,6
6.6,0.31,1.3,89,0.99035,3.26,12.4,8
7.8,0.4,1.8,122,0.9914,3.14,10.9,7
6.4,0.21,1.2,136,0.99225,3.15,10.2,5
6.4,0.31,2.8,114,0.99155,3.37,11.7,7
7,0.34,8,101,0.9954,2.99,9.4,5
6.4,0.31,5.3,157,0.99455,3.35,10.5,5
6.5,0.33,13.8,139,0.99695,3.35,10.4,6
6.2,0.48,10,240,0.99655,3.25,9.5,6
8.8,0.45,6,49,0.9934,3.01,11.1,7
6.6,0.3,14.4,183,0.998,3.02,9.1,6
6.9,0.25,9.8,191,0.9971,3.28,9.2,5
6.4,0.3,5.5,129,0.9948,3.14,9.6,6
6.6,0.3,14.4,183,0.998,3.02,9.1,6
6.9,0.25,9.8,191,0.9971,3.28,9.2,5
7.1,0.31,3.8,142,0.99215,3.17,10.8,7
6.4,0.3,5.5,129,0.9948,3.14,9.6,6
6.9,0.4,4.6,19,0.9915,3.31,12.6,3
5.8,0.3,1.5,57,0.99115,3.44,11,6
7,0.37,2,136,0.9932,3.28,10.2,6
5.9,0.25,12.5,152,0.9977,3.33,9.4,5
7.4,0.27,7.5,160,0.99535,3.17,10,5
7,0.34,8.5,253,0.9953,3.22,10.5,6
7.2,0.4,7.6,177,0.9928,3.04,11.5,6
6.9,0.38,8.1,176,0.9958,3.3,9.8,6
7.3,0.42,7.35,175,0.9928,3.04,11.4,6
7.2,0.4,7.6,177,0.9928,3.04,11.5,6
6.9,0.5,10,167,0.9964,3.15,10.2,6
6.7,0.42,14,160,0.9987,3.16,9.4,6
7,0.34,8.5,253,0.9953,3.22,10.5,6
7.1,0.44,1.8,107,0.9907,3.25,12.2,7
5.8,0.28,11.1,175,0.99755,3.42,9.5,5
6.9,0.38,8.1,176,0.9958,3.3,9.8,6
7,0.38,8.1,173,0.99585,3.3,9.8,6
6.8,0.49,19.3,247,1.00055,3,8.7,5
5,0.04,18.6,128,0.9985,3.37,10.2,6
6.3,0.28,5,168,0.99505,3.22,9.5,6
7.2,0.42,1.6,135,0.992,2.94,11,6
6.7,0.63,13.4,238,0.9988,3.08,9.2,5
6.8,0.36,1.6,46,0.99175,3.21,10.9,6
6.7,0.34,8.8,113,0.9962,3.42,9.3,7
6.7,0.34,8.8,113,0.9962,3.42,9.3,7
6.8,0.31,5.2,120,0.9942,3.41,9.8,7
6.1,0.3,16.7,172,0.99985,3.4,9.4,5
8.3,0.45,1.5,98,0.99215,3.02,11,6
7.2,0.19,13.7,197,0.99865,3.12,9,5
6.9,0.37,15,178,0.9992,3.37,9.5,7
8.1,0.44,14.1,145,1.0006,3.28,8.8,8
6,0,1.4,55,0.99135,3.37,11.2,4
7.8,0.22,9.5,213,0.99715,3.08,9.3,6
6.9,0.37,15,178,0.9992,3.37,9.5,7
8.1,0.44,14.1,145,1.0006,3.28,8.8,8
7.2,0.19,13.7,197,0.99865,3.12,9,5
7.6,0.27,10.6,119,0.99815,3.27,9.3,6
7.7,0.28,11,117,0.99815,3.27,9.2,6
7.7,0.28,11,117,0.99815,3.27,9.2,6
5.8,0.16,7,116,0.9949,3.46,10,7
7.6,0.27,10.6,119,0.99815,3.27,9.3,6
7.7,0.28,11,117,0.99815,3.27,9.2,6
5.9,0.3,2,92,0.99225,3.39,10.9,7
6.4,0.08,4.9,144,0.99445,3.1,10,5
5.9,0.3,2,92,0.99225,3.39,10.9,7
7.4,0.27,1.4,173,0.99335,3.03,9.3,5
7.2,0.26,7.3,157,0.99625,3.09,9,5
7.8,0.23,8.8,215,0.9971,3.02,9.2,6
6.9,0.33,12.5,153,0.9983,3.28,9.6,6
5.4,0.24,4.8,113,0.99445,3.42,9.4,6
6,0.31,1.4,75,0.99085,3.34,11.1,8
7.8,0.58,11.2,161,0.9977,3.06,8.9,6
6,0.49,6.8,222,0.9953,3.19,9.3,5
6.8,0.35,11.6,220,0.99775,3.07,9.3,5
6.6,0.31,11.4,165,0.99795,3.41,9.8,7
7.3,0.34,6.6,112,0.99505,3.22,9.8,6
7.8,0.58,11.2,161,0.9977,3.06,8.9,6
6.4,0.26,13.2,205,0.9975,3.17,9.6,5
6.2,0.26,13.1,204,0.99745,3.16,9.6,6
6,0.17,12,246,0.9976,3.15,9,6
6.2,0.26,13.4,206,0.99775,3.17,9.5,6
6,0.49,6.8,222,0.9953,3.19,9.3,5
6,0.05,1.5,120,0.9932,3.21,9.2,6
6.4,0.28,1.1,160,0.99405,3.42,9.1,7
6.5,0.32,16.5,166,1,3.38,9.5,6
7.9,0.24,15.6,229,0.99785,3.03,10.5,6
6.2,0.17,2.8,125,0.9939,3.01,9,5
8.4,0.42,5.1,77,0.9939,3.16,11.7,5
6.6,0.22,8.9,133,0.99675,3.2,9.1,5
6.2,0.17,2.8,125,0.9939,3.01,9,5
6.6,0.22,8.9,133,0.99675,3.2,9.1,5
6.8,0.21,5.4,104,0.99445,3.3,9.4,5
6.7,0.23,6.2,117,0.9945,3.34,9.6,6
8.4,0.42,5.1,77,0.9939,3.16,11.7,5
7,0.37,7.2,167,0.9958,3.26,9.8,6
6.8,0.38,8.1,155,0.9956,3.33,10.2,6
7.1,0.36,10.7,90,0.9959,3.16,10.9,7
7.1,0.36,1.2,90,0.9925,3.16,11,7
7.4,0.4,5.5,161,0.9935,3.05,11.5,4
7.3,0.34,2.7,108,0.99105,3.36,12.8,8
6.9,0.34,1.3,82,0.99045,3.18,12.2,6
7.5,0.34,4.3,108,0.99155,3.14,12.8,8
7.3,0.36,2.1,177,0.99085,3.25,11.9,8
7.3,0.36,2.1,177,0.99085,3.25,11.9,8
7.3,0.36,2.1,177,0.99085,3.25,11.9,8
7.5,0.35,6,126,0.9924,3.16,12,7
7.6,0.35,6.3,126,0.9924,3.16,12,7
8.7,0.32,13.4,169,0.99975,3.12,8.8,7
8.7,0.32,13.4,169,0.99975,3.12,8.8,7
6.9,0.35,1.7,101,0.99315,3.21,10.8,7
7.3,0.29,1.6,118,0.9917,3.3,11,8
7.3,0.29,1.6,118,0.9917,3.3,11,8
6.6,0.37,15.4,153,0.99845,3.02,9.3,5
9.2,0.27,1.2,73,0.9921,3.08,10.8,5
8.7,0.32,13.4,169,0.99975,3.12,8.8,7
6,0.24,1.8,105,0.9909,3.31,11.5,6
6.9,0.35,1.7,101,0.99315,3.21,10.8,7
8.2,0.49,13.6,166,0.99855,3.1,9.4,5
7.7,0.58,11.1,151,0.9978,3.06,8.6,5
7.4,0.35,2.1,116,0.9949,3.49,10.3,7
8.2,0.49,13.6,166,0.99855,3.1,9.4,5
8.2,0.48,13.7,169,0.9986,3.1,9.4,5
6.7,0.39,10.2,149,0.99725,3.17,10,7
8.1,0.35,1.7,103,0.99255,3.22,10.4,8
7.3,0.42,14.2,182,0.9996,3.29,9.1,7
4.8,0,6.5,163,0.9939,3.36,9.9,6
6.2,0.33,1.7,111,0.99,3.24,12.1,6
4.8,0,6.5,163,0.9937,3.35,9.9,5
6.1,0.33,2.2,117,0.9886,3.12,12.5,6
7.8,0.46,12.6,143,1,3.24,8.5,8
7.3,0.42,14.4,173,0.9994,3.28,9,7
7.3,0.29,1.2,97,0.9926,3.19,10.1,6
6,0.65,9.7,159,0.9956,3.04,9.4,5
7.7,0.58,11.1,151,0.9978,3.06,8.6,5
6.3,0.21,4,125,0.9915,3.06,10.7,6
7.7,0.29,1.3,64,0.9932,3.35,10.1,5
7.1,0.32,2.2,141,0.993,3.2,10,7
6.9,0.36,2.2,111,0.9919,3.41,11.9,8
7.1,0.32,2.2,141,0.993,3.2,10,7
8.8,0.44,1.9,121,0.9953,3.19,9.9,6
7.4,0.43,6,125,0.9928,3.13,11.5,6
7.4,0.43,6,125,0.9928,3.13,11.5,6
6.8,0.29,12.2,236,0.9976,3.35,9.8,6
6.1,0.27,2.6,105,0.9906,3.4,12.2,7
7.3,0.31,1.6,173,0.9918,3.19,11.4,6
6.5,0.32,2,90,0.99185,3.37,11,7
7.3,0.31,1.6,173,0.9918,3.19,11.4,6
6.5,0.32,2,90,0.99185,3.37,11,7
5,0,6.4,166,0.994,3.3,9.9,6
5.8,0.18,1.2,114,0.9908,3.42,11,7
5.9,0.3,1,114,0.9928,3.58,9.4,5
7,0.29,1.4,128,0.9896,3.12,12.2,7
5.8,0.18,1.2,114,0.9908,3.42,11,7
5.6,0.39,1.1,67,0.9918,3.23,10.3,6
6.8,0.28,8.7,242,0.9952,3.22,10.5,6
7,0.26,1.6,87,0.9923,3.08,10.5,6
6.6,0.29,1.4,67,0.9915,3.05,10.9,6
6.8,0.28,8.5,242,0.9952,3.22,10.5,6
6.6,0.38,7.9,145,0.9947,3.32,11,7
8,0.29,13.2,113,0.9983,3.25,9.7,6
6.1,0.35,12.8,229,0.9975,3.08,8.9,5
5.9,0.3,7.7,206,0.995,3.2,9.6,6
6.9,0.28,2.4,159,0.9944,3.02,8.8,8
8.4,0.42,1.6,101,0.994,3.06,11.1,4
8.3,0.45,1.3,72,0.9944,3.08,10.3,4
7.1,0.39,2.1,124,0.9908,3.28,12.2,8
8,0.37,9.6,159,0.99795,3.32,9.8,4
7.5,0.31,13,217,0.9985,3.08,8.8,5
6.3,0.2,5.8,144,0.99425,3.15,9.9,5
6.2,0.19,5.6,143,0.99425,3.15,9.9,5
6.3,0.19,5.8,145,0.9943,3.15,9.9,5
5.8,0.05,0.8,30,0.9924,3.36,9.2,5
8,0.26,1.2,88,0.9946,3.24,9.5,4
5.6,0.05,0.8,30,0.9924,3.36,9.2,5
7.4,0.39,4.7,137,0.995,3.36,10.3,7
7.7,0.32,1.6,124,0.9919,2.93,11,6
7,0.34,1.4,107,0.99,3.06,11.9,6
8.6,0.4,1.1,107,0.9923,2.94,10.2,7
7,0.32,4.6,144,0.9956,3.55,9.4,7
7.7,0.62,10.6,153,0.9978,3.13,8.9,6
7.7,0.62,10.6,153,0.9978,3.13,8.9,6
6.5,0.27,12.9,215,0.9967,3.17,10,6
7.9,0.41,2,152,0.9934,3.45,10.7,8
6.3,0.23,2.9,100,0.9936,3.28,9.8,5
6.7,0.33,2.9,173,0.9934,3.02,9.5,7
6.5,0.35,12,179,0.998,3.58,10,5
6.1,0.58,15,115,0.9978,3.15,9,5
7.7,0.52,5.9,84,0.9929,3.14,11.9,7
6.4,0.43,12.6,230,0.9974,3.08,8.9,5
6.5,0.28,12.5,225,0.99685,3.18,10,6
5.9,0.33,7.4,205,0.99495,3.26,9.6,5
6.2,0.43,13,233,0.99745,3.08,8.9,5
6.1,0.44,6.7,230,0.99505,3.12,8.9,5
6.4,0.32,1.4,67,0.992,3.08,11.4,5
6.1,0.58,15,115,0.9978,3.15,9,5
6.2,0.29,7.3,244,0.9956,3.36,10,6
7.7,0.29,15.3,194,0.9982,3.06,9.6,7
6.2,0.28,7.5,197,0.99485,3.14,9.7,5
6.3,0.46,11.75,212,0.9971,3.25,9.5,6
5.4,0.19,1.6,88,0.99265,3.54,10,7
6.9,0.36,3.5,135,0.9904,3.14,12.2,7
6.5,0.33,8,131,0.9965,3.28,8.7,7
6.7,0.29,5,105,0.9946,3.52,10.2,7
8.5,0.35,1.6,147,0.9935,2.96,10,5
7.3,0.39,6.4,84,0.9942,3.18,11.5,5
7.6,0.26,1.9,134,0.9936,3.08,9.5,5
7.6,0.34,9.7,143,0.9965,3.08,9.8,6
6.5,0.33,1.4,99,0.9928,3.23,10.1,6
8.2,0.37,1.3,117,0.9928,2.99,10,5
7.6,0.34,9.7,143,0.9965,3.08,9.8,6
7.6,0.26,1.9,134,0.9936,3.08,9.5,5
7.5,0.26,1.8,133,0.9938,3.07,9.5,5
6.6,0.32,0.9,79,0.9926,3.39,10.2,7
6.6,0.32,1.1,78,0.9926,3.39,10.2,7
7.3,0.34,15.4,174,0.9983,3.03,9,6
7.3,0.34,15.4,174,0.9983,3.03,9,6
8,0.36,5,101,0.992,3.13,12.3,7
7.3,0.34,15.4,174,0.9983,3.03,9,6
6.1,0.25,4,112,0.9923,3.37,11.6,6
5.9,0.21,12.5,152,0.9972,3.28,9.5,6
8.3,0.43,3.2,101,0.9928,3.15,11.5,5
6.5,0.28,1.8,188,0.9928,3.13,9.6,6
6.8,0.35,17.5,153,0.9994,3.24,9,6
6.5,0.33,1.9,93,0.991,3.34,12,7
5.5,0.09,1.6,68,0.9906,3.33,11.4,7
5.1,0.01,1.5,102,0.9894,3.38,12.3,7
6,0.19,1.7,110,0.9898,3.32,12.6,7
6.8,0.35,17.5,153,0.9994,3.24,9,6
6.5,0.33,1.9,93,0.991,3.34,12,7
7.6,0.25,4.3,111,0.9956,3.12,9.2,5
6.6,0.3,4.9,131,0.9946,3.51,10.3,6
6.5,0.33,7.6,189,0.9966,3.25,8.6,5
7.7,0.33,6.7,155,0.9951,3.39,10.7,7
7.7,0.33,6.7,155,0.9951,3.39,10.7,7
5.1,0.21,1.7,72,0.9894,3.5,12.5,6
5.7,0.34,4.2,77,0.9907,3.41,11.9,6
6.9,0.33,1.6,149,0.9925,3.44,10.8,5
6,0.21,1.9,122,0.9928,3.42,10.5,6
7.4,0.3,5.3,161,0.9941,3.12,10.3,6
7.4,0.3,5.2,163,0.9941,3.12,10.3,6
6.9,0.33,1.6,149,0.9925,3.44,10.8,5
7.7,0.39,8.9,117,0.9935,3.06,12,7
8.6,0.38,3.4,143,0.9932,2.95,10.2,6
8.2,0.44,1.3,69,0.9944,3.14,10.2,4
6.5,0.27,15.2,217,0.9972,3.19,9.9,5
7,0.18,1.3,62,0.994,3.38,10.1,4
8.6,0.36,1.8,187,0.9956,3.25,9.5,6
7.8,0.34,1.6,154,0.9927,3.05,10.5,6
6,0.34,1.3,29,0.9924,3.29,10.4,5
6.1,0.27,9.8,152,0.9966,3.31,9.5,6
8,0.3,17.45,184,0.9997,3.05,9.2,6
7.6,0.6,2.1,165,0.9936,3.05,10.1,7
8,0.36,1.8,84,0.9936,3.15,9.8,7
6.4,0.41,6.8,216,0.9952,3.09,9.4,5
6.4,0.43,7.1,221,0.9952,3.09,9.4,6
6.9,0.39,1.3,136,0.9928,3.31,10.4,7
5.8,0.26,3.3,153,0.9911,3.34,11.3,6
6.6,0.28,3.3,91,0.993,3.42,10.8,6
5.8,0.26,3.3,153,0.9911,3.34,11.3,6
5.1,0.06,2.7,79,0.9932,3.32,9.3,5
6.6,0.37,1.2,199,0.993,3.37,10.3,7
8.3,0.39,1.3,146,0.993,3.08,10.5,6
7.6,0.44,1.4,109,0.9932,3.11,10.3,6
7.7,0.41,1.7,173,0.9932,3.24,11.2,7
8.3,0.48,1.7,98,0.9943,3.15,10.3,6
6.2,0.47,11.6,210,0.9968,3.19,9.5,5
7.6,0.22,2.8,113,0.9926,3.03,10.2,5
7.6,0.44,1.4,109,0.9932,3.11,10.3,6
7.1,0.42,1.4,157,0.9916,2.95,10.5,6
8.3,0.26,1.5,189,0.9946,3.21,9.5,6
8.6,0.42,1.5,125,0.9925,3.11,11.4,7
8.6,0.42,1.5,125,0.9925,3.11,11.4,7
6.8,0.32,7.05,188,0.9935,3.25,11.1,8
7.6,0.38,10.6,174,0.9962,3.13,10.5,6
6.2,0.46,1.6,123,0.993,3.38,9.7,6
6.6,0.44,1.6,140,0.993,3.32,10.2,6
8,0.17,8.2,60,0.9956,3.09,9.5,4
7,0.35,1.5,128,0.9941,3.41,10.4,7
7.1,0.41,2.1,166,0.9948,3.48,10.5,6
6.2,0.29,7.6,232,0.9955,3.35,10,6
7.1,0.36,6.8,234,0.9972,3.49,10.2,6
7.1,0.36,6.8,234,0.9972,3.49,10.2,6
8.8,0.38,1.8,148,0.9942,3.16,10.2,6
7.1,0.24,6,77,0.9956,3.21,9.7,5
7.1,0.34,5.3,104,0.9953,3.37,9.3,7
7.5,0.34,1.4,102,0.9918,3.05,11,5
7.7,0.3,1,75,0.992,3.01,10.7,5
7.3,0.32,5.2,104,0.9952,3.24,10.7,4
7.5,0.48,19.45,243,1.001,2.95,8.8,5
7.2,0.37,1.6,94,0.9924,3.16,10.9,7
7.3,0.4,2,92,0.9932,3.14,10.5,5
6.5,0.1,1.3,107,0.9937,3.29,10,5
7,0.52,1.7,61,0.9918,3.07,10.4,5
8.3,0.38,1.1,75,0.9934,3.03,9.2,5
6.1,0.36,4.7,116,0.991,3.31,12.6,6
7.3,0.34,7.5,152,0.9962,3.1,9,5
7.6,0.42,1.3,86,0.9908,2.99,11.3,5
7,0.52,1.7,61,0.9918,3.07,10.4,5
8.6,0.41,2.2,111,0.9941,2.96,10,5
7.5,0.34,1.2,111,0.9931,3.51,10.7,6
7.2,0.24,10,197,0.9981,3.41,9,5
7.5,0.34,1.2,111,0.9931,3.51,10.7,6
5.3,0.2,1.1,166,0.9944,3.3,8.7,4
8,0.36,2,121,0.992,3.09,11.6,7
7,0.28,7.5,185,0.9966,3.34,9.4,5
6.7,0.26,4,216,0.9956,3.31,9.5,5
6.7,0.26,4.1,202,0.9956,3.3,9.5,5
8.1,0.37,1.9,159,0.9949,3.37,10.9,6
8.3,0.38,14.8,126,1.0002,3.22,9.7,5
6.4,0.51,5.5,172,0.9942,3.08,9.1,6
7.5,0.34,2.6,125,0.9923,3.1,11.1,7
8.8,0.44,6.35,87,0.9917,2.96,12.6,7
6.9,0.36,1.5,147,0.9931,3.35,11,6
8,0.32,1.6,166,0.992,3,11.3,7
8.3,0.38,14.8,126,1.0002,3.22,9.7,5
8.2,0.33,9.1,118,0.9953,2.96,10.9,7
7.7,0.3,8,192,0.9951,2.97,10.9,5
6.2,0.45,12,186,0.9974,3.17,9.3,6
6.4,0.19,3.2,124,0.9904,3.22,12.7,7
7.5,0.33,7.7,180,0.9974,3.37,10.1,6
7.8,0.44,1.3,132,0.9944,3.18,10,5
